size,noise_level,exact_recovery_rate,mean_bit_accuracy,total_patterns
7,0.05,0.15384615384615385,0.9073783359497646,26
7,0.1,0.15384615384615385,0.9065934065934065,26
7,0.15,0.15384615384615385,0.9073783359497646,26
10,0.05,0.0,0.8842307692307693,26
10,0.1,0.0,0.8853846153846152,26
10,0.15,0.0,0.8869230769230769,26
15,0.05,0.0,0.8953846153846153,26
15,0.1,0.0,0.894871794871795,26
15,0.15,0.0,0.8943589743589744,26
