size,n_patterns,noise_level,accuracy,network
10,22,0.1,0.0,Hopfield
10,22,0.15,0.0,Hopfield
10,23,0.05,0.0,Hopfield
10,23,0.1,0.0,Hopfield
10,23,0.15,0.0,Hopfield
10,24,0.05,0.0,Hopfield
10,24,0.1,0.0,Hopfield
10,24,0.15,0.0,Hopfield
10,25,0.05,0.0,Hopfield
10,25,0.1,0.0,Hopfield
10,25,0.15,0.0,Hopfield
10,26,0.05,0.0,Hopfield
10,26,0.1,0.0,Hopfield
10,26,0.15,0.0,Hopfield
15,1,0.05,1.0,Hopfield
15,1,0.1,1.0,Hopfield
15,1,0.15,1.0,Hopfield
15,2,0.05,1.0,Hopfield
15,2,0.1,1.0,Hopfield
15,2,0.15,1.0,Hopfield
15,3,0.05,0.0,Hopfield
15,3,0.1,0.0,Hopfield
15,3,0.15,0.0,Hopfield
15,4,0.05,0.0,Hopfield
15,4,0.1,0.0,Hopfield
15,4,0.15,0.0,Hopfield
15,5,0.05,0.0,Hopfield
15,5,0.1,0.0,Hopfield
15,5,0.15,0.0,Hopfield
15,6,0.05,0.0,Hopfield
15,6,0.1,0.0,Hopfield
15,6,0.15,0.0,Hopfield
15,7,0.05,0.0,Hopfield
15,7,0.1,0.0,Hopfield
15,7,0.15,0.0,Hopfield
15,8,0.05,0.0,Hopfield
15,8,0.1,0.0,Hopfield
15,8,0.15,0.0,Hopfield
15,9,0.05,0.0,Hopfield
15,9,0.1,0.0,Hopfield
15,9,0.15,0.0,Hopfield
15,10,0.05,0.0,Hopfield
15,10,0.1,0.0,Hopfield
15,10,0.15,0.0,Hopfield
15,11,0.05,0.0,Hopfield
15,11,0.1,0.0,Hopfield
15,11,0.15,0.0,Hopfield
15,12,0.05,0.0,Hopfield
15,12,0.1,0.0,Hopfield
15,12,0.15,0.0,Hopfield
15,13,0.05,0.0,Hopfield
15,13,0.1,0.0,Hopfield
15,13,0.15,0.0,Hopfield
15,14,0.05,0.0,Hopfield
15,14,0.1,0.0,Hopfield
15,14,0.15,0.0,Hopfield
15,15,0.05,0.0,Hopfield
15,15,0.1,0.0,Hopfield
15,15,0.15,0.0,Hopfield
15,16,0.05,0.0,Hopfield
15,16,0.1,0.0,Hopfield
15,16,0.15,0.0,Hopfield
15,17,0.05,0.0,Hopfield
15,17,0.1,0.0,Hopfield
15,17,0.15,0.0,Hopfield
15,18,0.05,0.0,Hopfield
15,18,0.1,0.0,Hopfield
15,18,0.15,0.0,Hopfield
15,19,0.05,0.0,Hopfield
15,19,0.1,0.0,Hopfield
15,19,0.15,0.0,Hopfield
15,20,0.05,0.0,Hopfield
15,20,0.1,0.0,Hopfield
15,20,0.15,0.0,Hopfield
15,21,0.05,0.0,Hopfield
15,21,0.1,0.0,Hopfield
15,21,0.15,0.0,Hopfield
15,22,0.05,0.0,Hopfield
15,22,0.1,0.0,Hopfield
15,22,0.15,0.0,Hopfield
15,23,0.05,0.0,Hopfield
15,23,0.1,0.0,Hopfield
15,23,0.15,0.0,Hopfield
15,24,0.05,0.0,Hopfield
15,24,0.1,0.0,Hopfield
15,24,0.15,0.0,Hopfield
15,25,0.05,0.0,Hopfield
15,25,0.1,0.0,Hopfield
15,25,0.15,0.0,Hopfield
15,26,0.05,0.0,Hopfield
15,26,0.1,0.0,Hopfield
15,26,0.15,0.0,Hopfield
7,1,0.05,1.0,Hebbian
7,1,0.1,1.0,Hebbian
7,1,0.15,1.0,Hebbian
7,2,0.05,1.0,Hebbian
7,2,0.1,1.0,Hebbian
7,2,0.15,0.95,Hebbian
7,3,0.05,0.0,Hebbian
7,3,0.1,0.0,Hebbian
7,3,0.15,0.0,Hebbian
7,4,0.05,0.25,Hebbian
7,4,0.1,0.2,Hebbian
7,4,0.15,0.25,Hebbian
7,5,0.05,0.0,Hebbian
7,5,0.1,0.0,Hebbian
7,5,0.15,0.0,Hebbian
7,6,0.05,0.15,Hebbian
7,6,0.1,0.15,Hebbian
7,6,0.15,0.1666666666666666,Hebbian
7,7,0.05,0.0,Hebbian
7,7,0.1,0.0,Hebbian
7,7,0.15,0.0,Hebbian
7,8,0.05,0.0,Hebbian
7,8,0.1,0.0,Hebbian
7,8,0.15,0.0,Hebbian
7,9,0.05,0.0,Hebbian
7,9,0.1,0.0,Hebbian
7,9,0.15,0.0,Hebbian
7,10,0.05,0.06,Hebbian
7,10,0.1,0.08,Hebbian
7,10,0.15,0.04,Hebbian
7,11,0.05,0.0,Hebbian
7,11,0.1,0.0,Hebbian
7,11,0.15,0.0,Hebbian
7,12,0.05,0.0666666666666666,Hebbian
7,12,0.1,0.075,Hebbian
7,12,0.15,0.075,Hebbian
7,13,0.05,0.0538461538461538,Hebbian
7,13,0.1,0.0538461538461538,Hebbian
7,13,0.15,0.0538461538461538,Hebbian
7,14,0.05,0.0,Hebbian
7,14,0.1,0.0,Hebbian
7,14,0.15,0.0,Hebbian
7,15,0.05,0.1333333333333333,Hebbian
7,15,0.1,0.0666666666666666,Hebbian
7,15,0.15,0.08,Hebbian
7,16,0.05,0.1875,Hebbian
7,16,0.1,0.1875,Hebbian
7,16,0.15,0.18125,Hebbian
7,17,0.05,0.1764705882352941,Hebbian
7,17,0.1,0.1764705882352941,Hebbian
7,17,0.15,0.1764705882352941,Hebbian
7,18,0.05,0.2222222222222222,Hebbian
7,18,0.1,0.2222222222222222,Hebbian
7,18,0.15,0.2222222222222222,Hebbian
